Parameters,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,0.49782569,0.49782569,0.49782569,0.387246795,0.387246795,0.387246795,0.49782569,0.49782569,0.49782569,0.49782569,0.49782569,0.49782569,0.44462733,0.44462733,0.44462733
Calinski-Harabasz,529.3982941,529.3982941,529.3982941,205.9499687,205.9499687,205.9499687,529.3982941,529.3982941,529.3982941,529.3982941,529.3982941,529.3982941,313.1838406,313.1838406,313.1838406
Davies-Bouldin,0.780640036,0.780640036,0.780640036,0.865604665,0.865604665,0.865604665,0.780640036,0.780640036,0.780640036,0.780640036,0.780640036,0.780640036,0.901126614,0.901126614,0.901126614
